,T1,T2,Season,1Seed-2Seed,ScoreAvgDiff,NumotAvgDiff,FgmAvgDiff,FgaAvgDiff,Fgm3AvgDiff,Fga3AvgDiff,FtmAvgDiff,FtaAvgDiff,OrAvgDiff,DrAvgDiff,AstAvgDiff,ToAvgDiff,StlAvgDiff,BlkAvgDiff,PfAvgDiff,ScorediffAvgDiff,WinAvgDiff
0,1326,1314,2011,-1,0.42156862000000217,-0.0008912650000000022,-0.46791444000000126,-6.502673799999997,2.1399286990000004,2.1550802100000013,-0.7825311999999993,-2.51604279,-2.975935830000001,-5.039215679999998,0.28431372999999915,-3.3386809300000007,1.0552584669999998,-2.0098039209999996,-1.977718359999999,8.355614971000001,0.1532976829999999
1,1326,1393,2011,-2,3.48217468,-0.031194295999999996,0.5623885899999976,-1.745098040000002,1.018716577000001,-0.20855614999999972,1.3386809300000007,0.5748663099999973,-1.4001782600000006,-1.9483065899999978,-0.6853832400000037,-1.94474153,-1.5811051699999998,-3.4946524059999993,-1.09893048,6.99197861,0.1532976829999999
2,1314,1393,2011,-1,3.060606059999998,-0.030303030999999994,1.030303029999999,4.757575759999995,-1.1212121219999993,-2.363636360000001,2.12121213,3.0909090999999975,1.5757575700000004,3.0909090900000002,-0.9696969700000029,1.3939394000000007,-2.6363636369999996,-1.4848484849999997,0.8787878799999991,-1.363636361000001,0.0
3,1326,1246,2011,-3,0.6639928700000013,-0.0008912650000000022,0.6532976799999979,-2.5935828900000004,0.018716577000001067,-0.6631016099999982,-0.6613190699999993,-0.5463458200000026,-0.8850267400000007,-2.7058823499999995,2.920677360000001,-0.4901960800000005,1.6916221030000003,-2.949197860999999,-1.826203210000001,4.688948300000002,0.18360071299999992
4,1314,1246,2011,-2,0.24242424999999912,0.0,1.1212121199999991,3.909090909999996,-2.1212121219999993,-2.8181818199999995,0.12121212999999997,1.9696969699999975,2.0909090900000002,2.3333333299999985,2.6363636300000017,2.84848485,0.6363636360000005,-0.9393939399999995,0.15151514999999804,-3.6666666709999998,0.03030303000000001
5,1393,1246,2011,-1,-2.8181818099999987,0.030303030999999994,0.09090909000000025,-0.8484848499999984,-1.0,-0.4545454599999985,-2.0,-1.12121213,0.5151515199999999,-0.7575757600000017,3.6060606000000046,1.4545454499999995,3.272727273,0.5454545450000001,-0.727272730000001,-2.3030303099999987,0.03030303000000001
6,1326,1452,2011,-4,7.539848190000001,0.029411765,3.7637571199999975,0.16888045000000318,1.1242884250000005,-0.7950664100000004,-1.1119544599999998,-1.551233400000001,-3.18121442,0.26185959000000025,0.55313093,-1.9203036000000004,2.5635673619999997,-0.9667931689999998,-3.606261860000002,11.813092977000002,0.2960151809999999
7,1314,1452,2011,-3,7.118279569999999,0.03030303,4.231671559999999,6.67155425,-1.015640274,-2.9501466200000017,-0.32942326000000044,0.9648093899999992,-0.20527858999999893,5.301075269999998,0.26881720000000087,1.4183773300000002,1.5083088949999999,1.0430107519999998,-1.6285435000000028,3.4574780060000005,0.142717498
8,1393,1452,2011,-2,4.057673510000001,0.060606060999999996,3.20136853,1.9139784900000052,0.10557184799999941,-0.5865102600000007,-2.4506353900000004,-2.1260997099999983,-1.7810361599999993,2.210166179999998,1.2385141700000037,0.024437929999999497,4.1446725319999995,2.5278592369999995,-2.507331380000002,4.821114367000002,0.142717498
9,1246,1452,2011,-1,6.875855319999999,0.03030303,3.1104594399999996,2.7624633400000036,1.1055718479999994,-0.1319648000000022,-0.4506353900000004,-1.0048875799999983,-2.296187679999999,2.96774194,-2.367546430000001,-1.43010752,0.8719452589999994,1.9824046919999994,-1.7800586500000009,7.124144677,0.11241446799999999
