Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Air Force,2005,61.24137931,0.068965517,21.4137931,47.72413793,8.896551724,24.4137931,9.517241379,13.06896552,7.620689655,15.4137931,13.65517241,10.06896552,8.793103448,1.724137931,16.48275862,6.103448276,0.586206897,0.413793103,29
Akron,2005,71.60714286,0.107142857,24.78571429,55.78571429,8.142857143,21.35714286,13.89285714,20.35714286,10.28571429,23.07142857,16.10714286,13.35714286,6.75,3.857142857,18.82142857,5.357142857,0.642857143,0.357142857,28
Alabama,2005,75.43333333,0.1,25.36666667,52.66666667,7.633333333,19.56666667,17.06666667,23.26666667,10.23333333,26.46666667,13.83333333,12.66666667,5.2,4.433333333,14.73333333,10.6,0.766666667,0.233333333,30
Alabama A&M,2005,69.06896552,0.068965517,23.65517241,59,6.103448276,20.24137931,15.65517241,25.51724138,12.93103448,24.31034483,13.13793103,15.24137931,10.62068966,3.862068966,19.34482759,1.275862069,0.551724138,0.448275862,29
Alabama St,2005,57.96666667,0.066666667,19.43333333,51,4.533333333,15.1,14.56666667,22.43333333,11.26666667,22.4,10.36666667,15.76666667,6.7,2,17.46666667,-3.333333333,0.5,0.5,30
Albany NY,2005,67.35714286,0.071428571,23,52.57142857,6.214285714,16.39285714,15.14285714,20.96428571,11.07142857,22.67857143,13.07142857,14.78571429,8.035714286,2.428571429,17.28571429,2.678571429,0.464285714,0.535714286,28
Alcorn St,2005,57.17857143,0.107142857,19.96428571,53.25,4.714285714,16.92857143,12.53571429,21.07142857,11.07142857,22.28571429,11.03571429,19.85714286,7.464285714,3.464285714,22.89285714,-12.28571429,0.214285714,0.785714286,28
American Univ,2005,67.17857143,0.142857143,24.28571429,53.75,6.357142857,17.35714286,12.25,17.17857143,10.03571429,25.21428571,12.89285714,15,6.571428571,2.785714286,17.92857143,1.107142857,0.571428571,0.428571429,28
Appalachian St,2005,71.51851852,0,25.85185185,59.51851852,8.333333333,23.81481481,11.48148148,17.48148148,12.14814815,23.07407407,15.55555556,15,9.074074074,4.62962963,17.55555556,1.888888889,0.555555556,0.444444444,27
Arizona,2005,79.66666667,0.060606061,29.12121212,61.84848485,6.848484848,17.03030303,14.57575758,18.72727273,13.72727273,23.27272727,16.57575758,14.84848485,8.242424242,3.575757576,16.45454545,10.12121212,0.818181818,0.181818182,33
