Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
1102,2003,57.25,0,19.14285714,39.78571429,7.821428571,20.82142857,11.14285714,17.10714286,4.178571429,16.82142857,13,11.42857143,5.964285714,1.785714286,18.75,0.25,0.428571429,0.571428571,28
1103,2003,78.77777778,0.296296296,27.14814815,55.85185185,5.444444444,16.07407407,19.03703704,25.85185185,9.777777778,19.92592593,15.22222222,12.62962963,7.259259259,2.333333333,19.85185185,0.62962963,0.481481481,0.518518519,27
1104,2003,69.28571429,0.035714286,24.03571429,57.17857143,6.357142857,19.85714286,14.85714286,20.92857143,13.57142857,23.92857143,12.10714286,13.28571429,6.607142857,3.785714286,18.03571429,4.285714286,0.607142857,0.392857143,28
1105,2003,71.76923077,0.153846154,24.38461538,61.61538462,7.576923077,20.76923077,15.42307692,21.84615385,13.5,23.11538462,14.53846154,18.65384615,9.307692308,2.076923077,20.23076923,-4.884615385,0.269230769,0.730769231,26
1106,2003,63.60714286,0.035714286,23.42857143,55.28571429,6.107142857,17.64285714,10.64285714,16.46428571,12.28571429,23.85714286,11.67857143,17.03571429,8.357142857,3.142857143,18.17857143,-0.142857143,0.464285714,0.535714286,28
1107,2003,65.92857143,0.214285714,24.03571429,57.46428571,7.928571429,22.17857143,9.928571429,13.53571429,8.25,20.25,11.92857143,12.57142857,6.857142857,2.035714286,15.89285714,-9.785714286,0.25,0.75,28
1108,2003,69.09090909,0.060606061,24.93939394,58.72727273,5.212121212,16.33333333,14,20.93939394,13.12121212,23.21212121,13.84848485,18.45454545,8.181818182,3.515151515,19.66666667,-4.03030303,0.424242424,0.575757576,33
1110,2003,66.36666667,0.066666667,23.16666667,53.53333333,8.766666667,23.13333333,11.26666667,16.53333333,10,23.13333333,14.23333333,13.16666667,6.4,1.733333333,18.13333333,4.466666667,0.533333333,0.466666667,30
1111,2003,83.26923077,0.153846154,28.61538462,64.5,7.192307692,21.96153846,18.84615385,26.19230769,13,25.30769231,15.23076923,16.19230769,9.846153846,4.615384615,18.69230769,1.538461538,0.615384615,0.384615385,26
1112,2003,85.21428571,0.071428571,30.32142857,65.71428571,7.035714286,20.07142857,17.53571429,25,15.17857143,27.64285714,17.64285714,14.78571429,8.464285714,4.214285714,17.75,14.96428571,0.892857143,0.107142857,28
1113,2003,75.96551724,0.068965517,27.20689655,56.89655172,4,12.5862069,17.55172414,26.20689655,13.68965517,23.31034483,15.55172414,14,5.206896552,4.24137931,19.4137931,6.793103448,0.620689655,0.379310345,29
1114,2003,70.03571429,0.25,23.85714286,53.21428571,6.785714286,18.28571429,15.53571429,22.42857143,10.53571429,22.85714286,11.5,15.96428571,6.607142857,2.357142857,20.5,-0.035714286,0.571428571,0.428571429,28
1115,2003,54.5,0.035714286,19.25,54.28571429,4.75,16.85714286,11.25,17.60714286,9.964285714,21.03571429,10.17857143,19.10714286,7.964285714,2.75,20.25,-19.67857143,0.142857143,0.857142857,28
1116,2003,61.64285714,0,21.82142857,55.57142857,6.071428571,19.57142857,11.92857143,19.57142857,14.53571429,23.42857143,9.821428571,16.67857143,6.464285714,3.535714286,20.92857143,-4.892857143,0.321428571,0.678571429,28
1117,2003,71.11538462,0.038461538,23.69230769,54.69230769,7.923076923,21.34615385,15.80769231,21.42307692,10.96153846,20.38461538,11.92307692,13.26923077,7.153846154,1.653846154,21.42307692,1.307692308,0.423076923,0.576923077,26
1119,2003,53.68,0,19.6,47.6,5.88,16.52,8.6,12.72,7.92,21.56,11.72,17.36,5.56,1.6,19.32,-13.8,0.12,0.88,25
1120,2003,70.1,0,25.7,54.7,5.633333333,16.33333333,13.06666667,19.73333333,11.93333333,22.56666667,13.4,15.9,8.033333333,4.966666667,16.36666667,4.533333333,0.633333333,0.366666667,30
1122,2003,69.7037037,0.148148148,23.55555556,52.07407407,6,17.18518519,16.59259259,24,10.62962963,24.22222222,13.40740741,15.22222222,7.037037037,4.666666667,18.66666667,2,0.740740741,0.259259259,27
1123,2003,73.3,0.033333333,25.93333333,60.46666667,5.366666667,16.66666667,16.06666667,22.13333333,13.16666667,21.73333333,10.5,12.83333333,5.2,2.2,22.86666667,-2.733333333,0.433333333,0.566666667,30
1124,2003,69,0.035714286,23.60714286,58,9.071428571,26.53571429,12.71428571,17.53571429,11.71428571,23.17857143,14.21428571,13.28571429,8.321428571,2.964285714,15.75,0.607142857,0.5,0.5,28
1125,2003,72.46428571,0.107142857,25.5,54.75,8.178571429,22.25,13.28571429,18.92857143,10.53571429,23.64285714,16.89285714,16.92857143,9.071428571,1.714285714,18.35714286,1.75,0.571428571,0.428571429,28
1126,2003,64.7,0.066666667,23.1,55.9,5.7,15.93333333,12.8,18.46666667,12.3,20.43333333,10.96666667,15.86666667,8.266666667,1.8,19.43333333,-8.2,0.266666667,0.733333333,30
1127,2003,66.55555556,0.037037037,24.03703704,57.18518519,7.666666667,21.92592593,10.81481481,16,11.7037037,24.22222222,12.7037037,15.07407407,6.444444444,6.481481481,18.25925926,0.37037037,0.518518519,0.481481481,27
1128,2003,67.84615385,0,22.03846154,49.76923077,7.692307692,21.65384615,16.07692308,22.23076923,10.65384615,21.46153846,13.38461538,15.65384615,7.884615385,3.961538462,18.07692308,3.153846154,0.653846154,0.346153846,26
1129,2003,65.89285714,0.142857143,23.07142857,56.17857143,5.178571429,17.39285714,14.57142857,20.89285714,11.17857143,21.92857143,11.64285714,14.39285714,6.642857143,3.821428571,19.5,-1.035714286,0.428571429,0.571428571,28
1130,2003,79.65517241,0.103448276,27.96551724,59.65517241,6,17.4137931,17.72413793,25.65517241,13.79310345,22.06896552,17,13.34482759,7,2.896551724,18.96551724,3.310344828,0.620689655,0.379310345,29
1131,2003,68.1,0.066666667,23.63333333,54.9,6.566666667,19.33333333,14.26666667,19.2,11,24.4,13.56666667,13.36666667,5.7,3.466666667,20.16666667,4.833333333,0.666666667,0.333333333,30
1132,2003,66.48148148,0.037037037,21.22222222,48.37037037,6.259259259,17.11111111,17.77777778,24.11111111,8.666666667,22.11111111,12.74074074,16.66666667,7.148148148,2.518518519,22.18518519,-4.148148148,0.407407407,0.592592593,27
1133,2003,72.31034483,0.103448276,24.72413793,56.65517241,6.379310345,17.75862069,16.48275862,23.4137931,11,23.24137931,12.55172414,14.17241379,7.448275862,1.689655172,20.34482759,-0.068965517,0.379310345,0.620689655,29
1135,2003,73.96428571,0.071428571,24.39285714,52.85714286,6.571428571,17.75,18.60714286,25,9.535714286,23.35714286,14.57142857,15.67857143,7.642857143,3.678571429,17.60714286,1.892857143,0.607142857,0.392857143,28
