Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Air Force,2012,60.66666667,0.074074074,20.88888889,47,6.259259259,18.77777778,12.62962963,18.51851852,5.851851852,22.2962963,13.37037037,13,6.259259259,2.962962963,17,-2.592592593,0.407407407,0.592592593,27
Akron,2012,71.46875,0.0625,25.09375,54.40625,5.90625,16.125,15.375,22.25,11.28125,23.75,13.71875,14.34375,7.3125,4.3125,18.3125,5.84375,0.65625,0.34375,32
Alabama,2012,64.9375,0.0625,23.625,52.3125,4.03125,14.15625,13.65625,19.09375,10.8125,24.375,12.28125,12.9375,7.3125,4.15625,18.40625,6.8125,0.65625,0.34375,32
Alabama A&M,2012,61.11538462,0.076923077,21.69230769,53.88461538,5.269230769,16.65384615,12.46153846,19.11538462,10.92307692,22.53846154,10.61538462,16.26923077,6.153846154,4,22.46153846,-8.538461538,0.192307692,0.807692308,26
Alabama St,2012,57.72413793,0.172413793,20.48275862,54.93103448,6,19.93103448,10.75862069,18.72413793,12.72413793,22.13793103,11.13793103,14.96551724,7.482758621,3.034482759,19.86206897,-5.827586207,0.344827586,0.655172414,29
Albany NY,2012,71.93939394,0.03030303,24.72727273,55.51515152,7.060606061,19.66666667,15.42424242,20.45454545,11.87878788,22.90909091,12.3030303,12.51515152,5.515151515,2.818181818,16.96969697,3.393939394,0.575757576,0.424242424,33
Alcorn St,2012,60,0,21.25,52.25,4,13.46428571,13.5,19.57142857,8.857142857,20.85714286,9.285714286,15.96428571,6.607142857,3.321428571,19.64285714,-8.964285714,0.25,0.75,28
American Univ,2012,64.4516129,0.032258065,22.22580645,51.90322581,7.096774194,17.70967742,12.90322581,18,8.451612903,23.90322581,12.61290323,11.09677419,4.451612903,2.741935484,17.19354839,2.741935484,0.64516129,0.35483871,31
Appalachian St,2012,67.24137931,0.034482759,23.5862069,53.5862069,6.517241379,18.93103448,13.55172414,20.55172414,10.27586207,23.86206897,11.75862069,14.17241379,5.517241379,3.689655172,19.68965517,-3.655172414,0.379310345,0.620689655,29
Arizona,2012,69.47058824,0.058823529,22.88235294,51.88235294,7.411764706,19.5,16.29411765,23.17647059,10.08823529,25.47058824,13.52941176,12.47058824,5.617647059,3.5,16.79411765,6.794117647,0.676470588,0.323529412,34
Arizona St,2012,61,0,21.09677419,46.41935484,5.838709677,16.03225806,12.96774194,19.16129032,8.451612903,23,12.16129032,16.29032258,5.580645161,3.967741935,17.67741935,-5.322580645,0.322580645,0.677419355,31
Ark Little Rock,2012,62.4,0.133333333,21.03333333,52.96666667,5.233333333,15.73333333,15.1,21.66666667,9.7,23.2,9.9,12.43333333,6.333333333,3.1,19.73333333,-1.966666667,0.466666667,0.533333333,30
Ark Pine Bluff,2012,61,0.03030303,21.36363636,51.72727273,4.393939394,14.66666667,13.87878788,21.78787879,11.03030303,22.45454545,11.12121212,14.87878788,6.96969697,4,18.21212121,-8.424242424,0.333333333,0.666666667,33
Arkansas,2012,71.84375,0,25.25,58.125,6.40625,18.125,14.9375,21.625,11.34375,22.46875,13.625,12.96875,8.28125,5,19.3125,2.125,0.5625,0.4375,32
Arkansas St,2012,63.33333333,0.060606061,21.96969697,51.48484848,5.212121212,13.84848485,14.18181818,21.21212121,11.33333333,22.21212121,9.606060606,13.6969697,5.939393939,2.333333333,15.78787879,-2.666666667,0.393939394,0.606060606,33
Army,2012,66.62068966,0.103448276,22.20689655,53.37931034,7.793103448,22.20689655,14.4137931,19.72413793,8.103448276,23.27586207,13.06896552,15.34482759,5.896551724,1.862068966,19.4137931,-4.103448276,0.379310345,0.620689655,29
Auburn,2012,62.64516129,0.096774194,22.4516129,53.83870968,5.032258065,16.67741935,12.70967742,19.61290323,10.90322581,23.38709677,12.4516129,13.51612903,6.419354839,4.806451613,18.48387097,-1.322580645,0.483870968,0.516129032,31
Austin Peay,2012,69.16129032,0.064516129,24.77419355,55.80645161,4.225806452,13.48387097,15.38709677,23.03225806,12.16129032,21.4516129,12.06451613,14.61290323,7.161290323,3.548387097,18.06451613,-4.193548387,0.35483871,0.64516129,31
BYU,2012,78.35483871,0,27.96774194,60.03225806,6.806451613,19.5483871,15.61290323,22.03225806,10.80645161,27.09677419,17.03225806,12.90322581,8.322580645,4.193548387,18.4516129,10.77419355,0.741935484,0.258064516,31
Ball St,2012,63,0,21.37931034,50.75862069,6.379310345,19.13793103,13.86206897,20.17241379,10.86206897,22.44827586,13.27586207,13.10344828,6.068965517,2.586206897,16.93103448,1.517241379,0.482758621,0.517241379,29
Baylor,2012,74.27272727,0.03030303,26.09090909,56,6.727272727,17.84848485,15.36363636,20.42424242,12.12121212,23.90909091,14.72727273,13.84848485,7.636363636,4.636363636,17.63636364,9,0.787878788,0.212121212,33
Belmont,2012,81.39393939,0.060606061,27.90909091,58,8.818181818,23.12121212,16.75757576,22.72727273,11.51515152,24.78787879,17.33333333,12.21212121,7.363636364,2.242424242,18.27272727,13.87878788,0.787878788,0.212121212,33
Bethune-Cookman,2012,64.93939394,0.03030303,23.27272727,53.45454545,5.212121212,14.75757576,13.18181818,19.78787879,11.51515152,18.90909091,11.84848485,13.27272727,6.636363636,2.545454545,18.96969697,-2.060606061,0.484848485,0.515151515,33
Binghamton,2012,56.83870968,0.032258065,20.22580645,50.93548387,4.258064516,14.09677419,12.12903226,17.35483871,8.967741935,21.74193548,11.16129032,14.90322581,6.032258065,2.161290323,17.87096774,-13.90322581,0.064516129,0.935483871,31
