Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Air Force,2003,57.25,0,19.14285714,39.78571429,7.821428571,20.82142857,11.14285714,17.10714286,4.178571429,16.82142857,13,11.42857143,5.964285714,1.785714286,18.75,0.25,0.428571429,0.571428571,28
Akron,2003,78.77777778,0.296296296,27.14814815,55.85185185,5.444444444,16.07407407,19.03703704,25.85185185,9.777777778,19.92592593,15.22222222,12.62962963,7.259259259,2.333333333,19.85185185,0.62962963,0.481481481,0.518518519,27
Alabama,2003,69.28571429,0.035714286,24.03571429,57.17857143,6.357142857,19.85714286,14.85714286,20.92857143,13.57142857,23.92857143,12.10714286,13.28571429,6.607142857,3.785714286,18.03571429,4.285714286,0.607142857,0.392857143,28
Alabama A&M,2003,71.76923077,0.153846154,24.38461538,61.61538462,7.576923077,20.76923077,15.42307692,21.84615385,13.5,23.11538462,14.53846154,18.65384615,9.307692308,2.076923077,20.23076923,-4.884615385,0.269230769,0.730769231,26
Alabama St,2003,63.60714286,0.035714286,23.42857143,55.28571429,6.107142857,17.64285714,10.64285714,16.46428571,12.28571429,23.85714286,11.67857143,17.03571429,8.357142857,3.142857143,18.17857143,-0.142857143,0.464285714,0.535714286,28
Albany NY,2003,65.92857143,0.214285714,24.03571429,57.46428571,7.928571429,22.17857143,9.928571429,13.53571429,8.25,20.25,11.92857143,12.57142857,6.857142857,2.035714286,15.89285714,-9.785714286,0.25,0.75,28
Alcorn St,2003,69.09090909,0.060606061,24.93939394,58.72727273,5.212121212,16.33333333,14,20.93939394,13.12121212,23.21212121,13.84848485,18.45454545,8.181818182,3.515151515,19.66666667,-4.03030303,0.424242424,0.575757576,33
American Univ,2003,66.36666667,0.066666667,23.16666667,53.53333333,8.766666667,23.13333333,11.26666667,16.53333333,10,23.13333333,14.23333333,13.16666667,6.4,1.733333333,18.13333333,4.466666667,0.533333333,0.466666667,30
Appalachian St,2003,83.26923077,0.153846154,28.61538462,64.5,7.192307692,21.96153846,18.84615385,26.19230769,13,25.30769231,15.23076923,16.19230769,9.846153846,4.615384615,18.69230769,1.538461538,0.615384615,0.384615385,26
Arizona,2003,85.21428571,0.071428571,30.32142857,65.71428571,7.035714286,20.07142857,17.53571429,25,15.17857143,27.64285714,17.64285714,14.78571429,8.464285714,4.214285714,17.75,14.96428571,0.892857143,0.107142857,28
