,Season,T1,T2,1Seed-2Seed,T1 WL,ScoreAvgDiff,NumotAvgDiff,FgmAvgDiff,FgaAvgDiff,Fgm3AvgDiff,Fga3AvgDiff,FtmAvgDiff,FtaAvgDiff,OrAvgDiff,DrAvgDiff,AstAvgDiff,ToAvgDiff,StlAvgDiff,BlkAvgDiff,PfAvgDiff,ScorediffAvgDiff,WinAvgDiff
591,2015,1428,1207,1,1,0.9677419299999883,-0.09677419300000001,0.1612903199999991,-2.483870969999998,1.8709677419999995,2.3870967800000003,-1.225806450000002,-1.741935490000003,-1.9677419379999996,1.6451612900000008,0.9032258099999986,-1.4193548400000005,-1.9354838710000006,0.19354838799999996,-3.2258064500000003,8.419354841,0.06451612900000014
291,2007,1242,1246,7,0,-4.909926470000002,-0.025735294000000006,-2.6213235300000015,-4.106617649999997,0.7794117649999999,3.25919118,-0.4466911800000002,-1.6544117599999986,-2.2775735299999997,-1.667279409999999,-0.8897058800000011,0.6875,-2.9430147059999996,-1.863970588,-2.8033088200000016,-11.25551471,-0.22610294099999995
251,2006,1452,1322,8,0,5.103448279999995,0.06896551699999999,1.1034482799999985,0.034482760000003054,-3.448275862999999,-11.172413799999998,6.344827582999999,10.827586200000002,5.241379313,2.8620689699999993,-0.9310344900000018,7.448275863999999,0.9310344830000012,0.5862068969999998,7.8965517200000015,0.551724138,0.10344827599999995
202,2006,1211,1231,3,0,-8.927586210000001,-0.133333333,-2.093103450000001,-2.405747120000001,2.989655172,6.3988505700000005,-7.73103448,-8.024137930000002,-2.5999999999999996,-1.068965519999999,0.9321839100000009,1.2873563299999997,-0.956321839000001,-0.4206896549999999,-0.593103450000001,-2.357471264,-0.27931034500000007
301,2007,1345,1112,1,1,-8.560416669999995,-0.066666667,-2.78125,-3.799999999999997,0.9312500000000004,1.7916666700000015,-3.9291666700000007,-3.5604166699999986,-1.1791666700000007,-3.4166666700000015,-2.4499999999999993,0.48541666999999933,1.6875,-0.514583333,6.31875,0.9083333329999999,-0.01041666699999999
519,2014,1257,1387,-1,1,12.053130929999995,-0.064516129,4.621442129999998,6.384250470000005,2.3491461099999995,3.8671726699999986,0.46110056999999927,2.4535104300000015,3.770398478999999,-1.5654648899999977,1.5796963999999996,-2.31878558,2.7305502859999997,0.3918406069999998,2.2096774199999984,12.888994304,0.046489562999999956
270,2007,1326,1207,-1,1,5.167613639999999,0.0,1.7727272700000007,7.321969700000004,1.1732954549999999,3.35890152,0.4488636400000008,1.23106061,0.4318181800000005,1.9839015199999999,1.2320075799999994,-1.99242424,1.5994318179999993,0.9081439389999995,-2.9242424200000006,1.8910984800000001,0.09659090900000011
256,2007,1207,1130,5,0,6.176411290000004,0.064516129,1.0161290299999983,4.85080645,-0.4102822579999996,-0.3497983900000001,4.554435479999999,6.141129029999998,1.0887096799999991,0.2752016099999999,0.4304435499999997,0.3790322600000007,0.5554435479999995,0.7429435479999995,-1.1129032300000006,-6.819556452,-0.16733871
275,2007,1417,1451,13,0,-0.9309523799999937,0.038095238,-2.769047620000002,-6.276190469999996,-1.085714286,-3.8571428599999997,5.692857140000001,7.930952379999997,-1.3880952410000003,1.13095238,-0.9928571399999999,3.621428570000001,-0.7595238100000001,-0.7999999999999998,3.5357142900000014,-10.65,-0.22619047599999997
518,2014,1257,1264,-9,1,4.742647059999996,-0.1875,3.75551471,5.216911760000002,1.6525735289999997,4.2371323499999995,-4.420955880000001,-6.540441179999998,0.9558823499999995,-0.667279409999999,2.488970589999999,-3.8621323499999995,1.8363970599999995,-1.4761029410000006,-4.625,13.772058820000002,0.07169117599999997
