Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Air Force,2009,57.4137931,0,19.17241379,44.06896552,6.517241379,17.5862069,12.55172414,18.62068966,6.931034483,20.89655172,11.89655172,13.55172414,5.068965517,2.172413793,17.79310345,-4.896551724,0.275862069,0.724137931,29
Akron,2009,66.41176471,0.088235294,22.58823529,54.26470588,7.117647059,21.61764706,14.11764706,19.73529412,11.73529412,21.35294118,12.11764706,13.73529412,7.647058824,2.264705882,20.61764706,5.911764706,0.647058824,0.352941176,34
Alabama,2009,72.83333333,0.1,25.96666667,59.43333333,4.833333333,14.63333333,16.06666667,22.8,14.03333333,25.73333333,11.16666667,14.8,7,4.666666667,17.33333333,1.5,0.533333333,0.466666667,30
Alabama A&M,2009,64,0.041666667,22.29166667,57.29166667,4.5,16.79166667,14.91666667,22.66666667,12.29166667,22.29166667,10.66666667,16.20833333,8.041666667,3.458333333,20.33333333,-8.083333333,0.291666667,0.708333333,24
Alabama St,2009,69.48275862,0,25.55172414,54.93103448,5.689655172,17.31034483,12.68965517,20.03448276,11.4137931,24.72413793,14,13.75862069,5.75862069,4.75862069,17.62068966,5.896551724,0.689655172,0.310344828,29
Albany NY,2009,64,0.032258065,23.06451613,55.25806452,4.193548387,14.25806452,13.67741935,19.03225806,13.70967742,25.19354839,11.83870968,15.29032258,5.161290323,2.032258065,20.19354839,-1.741935484,0.483870968,0.516129032,31
Alcorn St,2009,69.28571429,0.071428571,24.03571429,60.82142857,6.392857143,18.96428571,14.82142857,21.96428571,9.857142857,21.28571429,10.60714286,15.07142857,8.392857143,1.714285714,19.46428571,-15.28571429,0.142857143,0.857142857,28
American Univ,2009,64.4516129,0.064516129,23.35483871,50.06451613,7.096774194,18.83870968,10.64516129,16.41935484,9.516129032,23.4516129,13.06451613,13.22580645,5.419354839,2.516129032,17.93548387,6.032258065,0.774193548,0.225806452,31
Appalachian St,2009,74.8,0.2,25.43333333,56.83333333,7.466666667,20.23333333,16.46666667,23.36666667,13.06666667,25.66666667,12.66666667,17.7,6.033333333,3.333333333,20.2,-3,0.4,0.6,30
Arizona,2009,72.1875,0.03125,25.65625,54.0625,6.1875,15.65625,14.6875,20,11.09375,22.75,14.4375,12.59375,5.96875,3.0625,15.625,3.75,0.59375,0.40625,32
Arizona St,2009,69.54545455,0.121212121,23.78787879,49.39393939,8.090909091,22.09090909,13.87878788,18.75757576,8.424242424,22.90909091,15.60606061,11.51515152,5.909090909,2.090909091,15.90909091,9.484848485,0.727272727,0.272727273,33
Ark Little Rock,2009,66.41935484,0.096774194,22.93548387,51.25806452,5.129032258,14.35483871,15.41935484,23,10.80645161,24,13.03225806,15.03225806,5.516129032,3.483870968,19.61290323,3.064516129,0.741935484,0.258064516,31
Ark Pine Bluff,2009,62.67741935,0.064516129,22.87096774,57.03225806,4,13.90322581,12.93548387,20.93548387,14.38709677,23.64516129,10.93548387,19.51612903,8.741935484,2.709677419,22.67741935,-7.967741935,0.419354839,0.580645161,31
Arkansas,2009,74.6,0.1,26.56666667,60.7,6.733333333,20.26666667,14.73333333,22.63333333,12.7,24.93333333,13,13.96666667,7.566666667,2.866666667,17.16666667,0.833333333,0.466666667,0.533333333,30
Arkansas St,2009,64.28571429,0.178571429,23.5,55.85714286,4.678571429,14.89285714,12.60714286,18.67857143,11.57142857,24.57142857,13,13.60714286,6.5,3.678571429,17.07142857,-1.107142857,0.392857143,0.607142857,28
Army,2009,58.03333333,0.133333333,21.46666667,51.1,4.8,14.23333333,10.3,14.93333333,7.9,21.3,13.2,15.3,7.466666667,2.5,19.26666667,-2.733333333,0.366666667,0.633333333,30
Auburn,2009,72.25,0.03125,25.78125,58.71875,7.5625,23.09375,13.125,21.65625,11.78125,24.5,13.9375,13.125,8.96875,3.40625,19.03125,6.28125,0.65625,0.34375,32
Austin Peay,2009,74.5,0.133333333,26.36666667,56.6,6.866666667,18.73333333,14.9,21.53333333,10.76666667,23.06666667,14.3,13.43333333,6.266666667,3.233333333,18.73333333,-0.3,0.566666667,0.433333333,30
BYU,2009,77.19354839,0.032258065,27.64516129,56.74193548,7.290322581,19.19354839,14.61290323,20.06451613,9.193548387,27.16129032,16.35483871,11.41935484,7.064516129,3.64516129,18.64516129,12.4516129,0.774193548,0.225806452,31
Ball St,2009,57.90322581,0.096774194,20.83870968,50.70967742,4.322580645,12.74193548,11.90322581,19.48387097,10.74193548,23.80645161,10.74193548,13.09677419,5.096774194,2.032258065,18.4516129,-1.838709677,0.451612903,0.548387097,31
Baylor,2009,75.33333333,0.03030303,25.78787879,56.54545455,7.96969697,22.45454545,15.78787879,22.36363636,10.96969697,23.42424242,11.51515152,12.84848485,6.818181818,3.575757576,18.90909091,4.393939394,0.575757576,0.424242424,33
Belmont,2009,76.58064516,0.064516129,26.32258065,59.41935484,9.903225806,28.29032258,14.03225806,20.51612903,12,23.67741935,16.41935484,14.32258065,8.032258065,2.516129032,19.09677419,6,0.612903226,0.387096774,31
Bethune-Cookman,2009,56.8,0.133333333,20.16666667,51.46666667,4.133333333,14.76666667,12.33333333,19.76666667,12.3,22.5,9.033333333,14.26666667,6.566666667,2.6,19.5,-2,0.466666667,0.533333333,30
Binghamton,2009,69.9,0.1,24.03333333,55.16666667,6.033333333,18.23333333,15.8,23.03333333,11.2,23.43333333,12,13.26666667,7.066666667,4.166666667,20.2,2.966666667,0.733333333,0.266666667,30
Boise St,2009,71.76666667,0.066666667,26.73333333,57.1,6.333333333,18.2,11.96666667,17.23333333,9.666666667,24.03333333,15.7,14.7,6.3,3.5,18.3,0.066666667,0.6,0.4,30
Boston College,2009,74.93939394,0.060606061,26.27272727,58.93939394,6.393939394,18.96969697,16,21.78787879,14.3030303,22.93939394,14.84848485,13.39393939,6.151515152,4.363636364,17.96969697,4.484848485,0.666666667,0.333333333,33
Boston Univ,2009,68.6,0.333333333,23.26666667,54.86666667,8.9,24.66666667,13.16666667,19.26666667,11.5,23.13333333,12.66666667,13.6,6.733333333,3.233333333,17.06666667,2.3,0.566666667,0.433333333,30
Bowling Green,2009,63.1,0.1,22.86666667,53.63333333,6.133333333,17.4,11.23333333,16.86666667,11.43333333,24.16666667,12.16666667,13.06666667,6.7,3.633333333,17.23333333,1.833333333,0.566666667,0.433333333,30
Bradley,2009,66.78125,0.0625,22.21875,51.1875,5.75,18.0625,16.59375,23.09375,11,21.59375,12.21875,14.46875,7.625,3.53125,18.5625,0.4375,0.5625,0.4375,32
Brown,2009,61.14285714,0.035714286,21.39285714,50.21428571,5.821428571,18.35714286,12.53571429,19.03571429,8.392857143,24.25,13.32142857,14.39285714,4.607142857,3,15.17857143,-6.642857143,0.321428571,0.678571429,28
Bryant,2009,57.5862069,0,20.03448276,51,7.137931034,21.68965517,10.37931034,15.68965517,9.103448276,19.93103448,12.10344828,13.37931034,5.931034483,2.448275862,17.72413793,-10.31034483,0.275862069,0.724137931,29
Bucknell,2009,64.26666667,0.266666667,22.63333333,58.86666667,7.066666667,20.6,11.93333333,17.6,10.63333333,26.8,11.26666667,14.16666667,4.833333333,2.5,20.03333333,-7.466666667,0.233333333,0.766666667,30
Buffalo,2009,65.0625,0.09375,23.46875,56.375,5.21875,15.28125,12.90625,20,13.84375,23.21875,12.34375,14.15625,6.4375,2.75,18.46875,2.75,0.65625,0.34375,32
Butler,2009,67,0,21.76666667,49.76666667,7.933333333,22.5,15.53333333,21.53333333,9.966666667,23.9,12.76666667,12.56666667,6,3.233333333,17.86666667,8.8,0.833333333,0.166666667,30
C Michigan,2009,62.19354839,0.129032258,21.93548387,52.51612903,5.806451613,17.29032258,12.51612903,19.83870968,11.67741935,19.93548387,9.870967742,14.41935484,7.870967742,2.548387097,22.4516129,-2.903225806,0.387096774,0.612903226,31
CS Bakersfield,2009,64.65517241,0.103448276,22.27586207,56.68965517,6.379310345,20.06896552,13.72413793,20.24137931,12.65517241,19.72413793,10.5862069,13.17241379,5.448275862,2.275862069,18.34482759,-7.551724138,0.275862069,0.724137931,29
CS Fullerton,2009,72.22580645,0.064516129,25.29032258,58.80645161,8.032258065,23.64516129,13.61290323,19.09677419,11.61290323,21.64516129,12.83870968,13.12903226,6.612903226,3.548387097,18.38709677,-1.838709677,0.451612903,0.548387097,31
CS Northridge,2009,73.75862069,0.068965517,26.48275862,58.10344828,7.034482759,19.55172414,13.75862069,19.93103448,12.89655172,24.03448276,14.10344828,17.5862069,8.827586207,2.620689655,21.96551724,3.586206897,0.551724138,0.448275862,29
CS Sacramento,2009,56.96551724,0,19.79310345,49.4137931,5.275862069,14.62068966,12.10344828,17.48275862,8.551724138,20.06896552,10.27586207,14.48275862,4.448275862,1.586206897,18,-15.44827586,0.068965517,0.931034483,29
Cal Poly SLO,2009,65.07142857,0.035714286,23.03571429,56.82142857,6.75,20,12.25,17.39285714,10.53571429,22.64285714,10.71428571,11.67857143,5.892857143,2.857142857,15.32142857,-5.071428571,0.25,0.75,28
California,2009,75.03125,0.125,27.09375,55.90625,6.34375,14.625,14.5,19.1875,9.96875,23.71875,15.53125,12.03125,4.90625,2,16.8125,6.6875,0.6875,0.3125,32
Campbell,2009,71.21428571,0,24.53571429,57.71428571,5.928571429,17.17857143,16.21428571,23,12.82142857,24.14285714,15.5,16.46428571,8.107142857,2.571428571,20.46428571,-1,0.428571429,0.571428571,28
Canisius,2009,62.87096774,0.096774194,23.03225806,56.35483871,5.032258065,17.5483871,11.77419355,19.12903226,12.58064516,25.16129032,12.09677419,16.41935484,5.161290323,4.548387097,20.5483871,-4.774193548,0.35483871,0.64516129,31
Cent Arkansas,2009,60.52,0,20.04,52.64,5.12,16.36,15.32,23.04,11.2,22.16,9.64,13.96,5.2,2.84,19.08,-11.12,0.24,0.76,25
Centenary,2009,64.29032258,0.032258065,22.38709677,55.5483871,7.483870968,21.70967742,12.03225806,17.70967742,9.451612903,20.35483871,12,13.70967742,8.903225806,2.64516129,21.93548387,-6.903225806,0.258064516,0.741935484,31
Central Conn,2009,64.76666667,0.033333333,23.96666667,53.53333333,4.166666667,13.2,12.66666667,17.6,11.06666667,21.26666667,13,14.3,6.133333333,2.733333333,14.66666667,-3.333333333,0.433333333,0.566666667,30
Charleston So,2009,65.26923077,0.038461538,24.53846154,58.07692308,6.5,20.23076923,9.692307692,15.5,12,24.69230769,12.11538462,13.23076923,5.538461538,2.923076923,17.76923077,-7.461538462,0.230769231,0.769230769,26
Charlotte,2009,68.70967742,0.161290323,24.25806452,59.09677419,6.967741935,22.80645161,13.22580645,19.38709677,12.77419355,22.5483871,13.61290323,13.09677419,6.451612903,3.322580645,18.58064516,-1.677419355,0.35483871,0.64516129,31
Chattanooga,2009,75,0.09375,24.75,56.28125,8.125,23.25,17.375,26.6875,12.34375,26.125,13.21875,15.40625,5.96875,2.21875,18.0625,-1.46875,0.5,0.5,32
Chicago St,2009,82.83333333,0.166666667,29.33333333,64.63333333,7.666666667,22.66666667,16.5,24.33333333,14.73333333,23.66666667,15.63333333,15.3,9.566666667,3.933333333,21,1.966666667,0.566666667,0.433333333,30
Cincinnati,2009,68.34375,0.09375,24.75,58.40625,7.28125,21.9375,11.5625,17.59375,14.28125,23.375,14.5625,13.625,5.71875,3.21875,18.28125,2,0.5625,0.4375,32
Citadel,2009,66.26666667,0.066666667,23.4,52.3,6.4,18.5,13.06666667,18.2,10.03333333,23.2,11.26666667,12.7,5.2,1.566666667,17.23333333,1.6,0.6,0.4,30
Clemson,2009,78.96774194,0.032258065,28.74193548,61.48387097,8.096774194,21.35483871,13.38709677,19.58064516,14.22580645,22.70967742,14.96774194,14.35483871,9.35483871,5.806451613,17.96774194,10.74193548,0.741935484,0.258064516,31
Cleveland St,2009,64.96875,0,23.03125,54.15625,4.75,15.34375,14.15625,20.09375,11.5625,22.09375,13.4375,12.46875,8.59375,3.28125,18.375,5.125,0.6875,0.3125,32
Coastal Car,2009,67.51851852,0.111111111,24.77777778,56.96296296,6.888888889,20.85185185,11.07407407,17.96296296,12.59259259,23.7037037,14.14814815,16.40740741,6.37037037,2.814814815,16.92592593,-4.62962963,0.296296296,0.703703704,27
Col Charleston,2009,76.94117647,0.029411765,27.97058824,59.61764706,8.205882353,21.91176471,12.79411765,19.38235294,11.70588235,23.97058824,13.52941176,12.67647059,6.911764706,4.294117647,16.08823529,4.852941176,0.764705882,0.235294118,34
Colgate,2009,56.7,0.066666667,19.66666667,48.86666667,4.933333333,15.56666667,12.43333333,18.53333333,9.1,22.4,10.33333333,14.7,4.5,3.3,16.93333333,-6.466666667,0.333333333,0.666666667,30
Colorado,2009,62.86666667,0.1,21.73333333,47.86666667,5.633333333,16.13333333,13.76666667,18.93333333,6.5,20.76666667,11.6,14.26666667,6.1,1.666666667,18.66666667,-5.1,0.266666667,0.733333333,30
Colorado St,2009,68.86666667,0.1,23.66666667,55.2,6.166666667,17.43333333,15.36666667,21.33333333,10.83333333,21.63333333,10.93333333,13.5,5.833333333,2.4,19.43333333,-5.033333333,0.3,0.7,30
Columbia,2009,60.32142857,0.035714286,21.5,53.17857143,4.928571429,15.53571429,12.39285714,18.53571429,10.92857143,23.14285714,11.57142857,14.07142857,6.607142857,1.928571429,18.75,-1.821428571,0.428571429,0.571428571,28
Connecticut,2009,77.32258065,0.225806452,27.38709677,58.25806452,4.741935484,13.67741935,17.80645161,26.29032258,14.22580645,28.51612903,15.38709677,12.67741935,5.806451613,8,12.90322581,13.35483871,0.870967742,0.129032258,31
Coppin St,2009,62.87096774,0.032258065,22.48387097,55.25806452,5.64516129,16.77419355,12.25806452,17.16129032,10.5483871,20.38709677,9.612903226,12.58064516,7.967741935,1.451612903,16.22580645,-4.483870968,0.387096774,0.612903226,31
Cornell,2009,73.20689655,0.068965517,26.17241379,55.37931034,7.482758621,18.34482759,13.37931034,18.13793103,10.24137931,25.06896552,15.4137931,13.06896552,6.75862069,3.931034483,18.13793103,8.24137931,0.689655172,0.310344828,29
Creighton,2009,73.60606061,0.03030303,24.54545455,55.03030303,7.96969697,20.78787879,16.54545455,22.03030303,9.787878788,22.72727273,13.96969697,12.33333333,8.212121212,4,19,8.242424242,0.787878788,0.212121212,33
Dartmouth,2009,61.25925926,0.148148148,22.40740741,55.55555556,5.148148148,15.33333333,11.2962963,17.37037037,10.96296296,21.40740741,9.37037037,13.96296296,6.518518519,4.333333333,20.03703704,-7.259259259,0.296296296,0.703703704,27
Davidson,2009,77.46875,0,27.15625,62.46875,8.625,24.53125,14.53125,20.53125,13.3125,25.75,13.9375,12.15625,7.75,3.1875,20.125,12.46875,0.78125,0.21875,32
Dayton,2009,67.51515152,0.060606061,23.93939394,55.93939394,5.515151515,16.66666667,14.12121212,21.87878788,13.75757576,24.21212121,14.06060606,13.78787879,6.333333333,3.515151515,19,6,0.787878788,0.212121212,33
DePaul,2009,64.33333333,0,23.63636364,58.18181818,5.696969697,19.24242424,11.36363636,18.45454545,12.90909091,21.72727273,11.3030303,12.54545455,6.757575758,3.090909091,15.18181818,-8.090909091,0.272727273,0.727272727,33
Delaware,2009,67.9375,0.0625,22.96875,55.5625,7.21875,21.75,14.78125,21.03125,10.28125,23.75,13.09375,13,5.625,2.84375,18.15625,-2.1875,0.40625,0.59375,32
Delaware St,2009,57.06666667,0.066666667,21.16666667,50.16666667,5.9,17.2,8.833333333,13.46666667,10.7,18.96666667,9.866666667,15.16666667,5.2,3.833333333,16.06666667,-8.666666667,0.233333333,0.766666667,30
Denver,2009,60.77419355,0.161290323,20.70967742,43.19354839,7.838709677,20.80645161,11.51612903,15.61290323,4.677419355,19.16129032,13.61290323,13.09677419,5.161290323,2.032258065,20.80645161,0.387096774,0.483870968,0.516129032,31
Detroit,2009,56.4137931,0.034482759,20.34482759,48.89655172,3.275862069,11.68965517,12.44827586,19.20689655,10.37931034,20.5862069,10.31034483,17,6.448275862,2.896551724,20.82758621,-8.724137931,0.206896552,0.793103448,29
Drake,2009,64.06451613,0.064516129,20.5483871,49.4516129,7.806451613,22.4516129,15.16129032,20.12903226,8.903225806,23.4516129,11.22580645,12.83870968,6.387096774,2.322580645,15.70967742,1.35483871,0.516129032,0.483870968,31
Drexel,2009,61.65517241,0.034482759,21,56.37931034,4.896551724,16.68965517,14.75862069,21.96551724,15.34482759,24.62068966,11.13793103,12.65517241,4.896551724,3.827586207,19.86206897,0.482758621,0.517241379,0.482758621,29
Duke,2009,78.02941176,0.029411765,26.58823529,59.29411765,7.235294118,20.73529412,17.61764706,24.35294118,13.32352941,23.29411765,13.38235294,12.32352941,8.5,4.088235294,18.02941176,12.41176471,0.823529412,0.176470588,34
Duquesne,2009,78.03030303,0.060606061,27.24242424,58.06060606,8.454545455,24.09090909,15.09090909,21.72727273,11.06060606,22.42424242,16.72727273,13.6969697,7.666666667,3.272727273,17.18181818,4.545454545,0.636363636,0.363636364,33
E Illinois,2009,63.35714286,0.035714286,23.07142857,52.39285714,4.964285714,13.85714286,12.25,17.14285714,10.07142857,23.10714286,12.28571429,13.07142857,4.821428571,1.785714286,17.60714286,-3.714285714,0.357142857,0.642857143,28
E Kentucky,2009,71.07142857,0.107142857,25.10714286,53.71428571,10.17857143,25.07142857,10.67857143,15.25,9.785714286,18.78571429,15.67857143,11.39285714,7.464285714,1.785714286,16.5,3.428571429,0.571428571,0.428571429,28
E Michigan,2009,54.93333333,0.1,19.8,50.56666667,4.666666667,15.6,10.66666667,17.56666667,11.23333333,21.66666667,10.83333333,15.9,5.9,3.366666667,16.86666667,-9.9,0.2,0.8,30
E Washington,2009,62.5862069,0.068965517,22.72413793,54.48275862,5.413793103,16.96551724,11.72413793,17.03448276,10.44827586,21.4137931,11.48275862,12.75862069,5.793103448,2.172413793,19.17241379,-5.275862069,0.379310345,0.620689655,29
ETSU,2009,78.09375,0.0625,27.625,59.59375,5.9375,17.375,16.90625,23.71875,11.40625,26.125,12.40625,14,8.375,3.71875,18.3125,7.9375,0.6875,0.3125,32
East Carolina,2009,71.92592593,0.074074074,24.11111111,55.37037037,8.814814815,23.07407407,14.88888889,20.18518519,10.48148148,23.11111111,14,12.07407407,5.148148148,2.962962963,17.48148148,-4.259259259,0.37037037,0.62962963,27
Edwardsville,2009,64.73913043,0,22.95652174,55.91304348,6.173913043,18.56521739,12.65217391,18.17391304,7.565217391,22.08695652,11.04347826,15.95652174,6.043478261,3.173913043,20.56521739,-15.86956522,0.173913043,0.826086957,23
Elon,2009,64.72413793,0.137931034,23.37931034,54.51724138,6.034482759,17.31034483,11.93103448,18.17241379,9.793103448,21.96551724,13.06896552,13.93103448,6.655172414,3.310344828,18.44827586,-7.344827586,0.310344828,0.689655172,29
Evansville,2009,66.55172414,0.034482759,23.37931034,52.20689655,3.24137931,9.965517241,16.55172414,23.79310345,9.793103448,23.5862069,14.5862069,13.24137931,5.655172414,1.24137931,19.93103448,1.206896552,0.551724138,0.448275862,29
F Dickinson,2009,63.63333333,0.1,22.5,53.8,4.1,14.6,14.53333333,22.83333333,11.5,20.56666667,11.16666667,17.03333333,5.833333333,4.333333333,17.23333333,-12.43333333,0.233333333,0.766666667,30
