Team,Season,Score,Numot,Fgm,Fga,Fgm3,Fga3,Ftm,Fta,Or,Dr,Ast,To,Stl,Blk,Pf,Scorediff,Win,Loss,Count
Air Force,2010,55.62068966,0,20,45.5862069,5.620689655,18.10344828,10,15.68965517,6.75862069,19.86206897,12.27586207,12.79310345,4.827586207,1.517241379,17.55172414,-7.344827586,0.275862069,0.724137931,29
Akron,2010,71.03030303,0.181818182,25.09090909,57.63636364,6.606060606,19.51515152,14.24242424,21.39393939,13.45454545,22.6969697,13.51515152,13.66666667,6.242424242,3.181818182,19.87878788,4.575757576,0.696969697,0.303030303,33
Alabama,2010,68.5,0,24.71875,56.0625,5.46875,15.625,13.59375,19.21875,12.0625,23.125,13.40625,12.8125,7.78125,3.96875,18.21875,3.71875,0.53125,0.46875,32
Alabama A&M,2010,63.82608696,0.043478261,21.17391304,57.17391304,3.826086957,13.56521739,17.65217391,27.52173913,13.95652174,21.60869565,9.695652174,15.91304348,9.391304348,5.217391304,20.65217391,-6.47826087,0.347826087,0.652173913,23
Alabama St,2010,64.03571429,0.035714286,21.21428571,53.5,5.928571429,19.07142857,15.67857143,24.25,13.35714286,22.32142857,12.64285714,16.21428571,7.464285714,4.178571429,20.82142857,-2.392857143,0.464285714,0.535714286,28
Albany NY,2010,62.71875,0.0625,22.1875,54.25,6.0625,18.28125,12.28125,17.03125,12.46875,23.65625,11.875,16.15625,5.84375,3.03125,18.8125,-6.40625,0.21875,0.78125,32
Alcorn St,2010,60.64516129,0.032258065,21,55.38709677,4.35483871,14.09677419,14.29032258,23.38709677,11.48387097,22.87096774,8.677419355,20.70967742,6.903225806,3.161290323,21.61290323,-21.35483871,0.064516129,0.935483871,31
American Univ,2010,62.61290323,0.161290323,21.96774194,51.70967742,5.935483871,17.22580645,12.74193548,18.41935484,9.806451613,25.58064516,14.41935484,14.77419355,3.516129032,2.612903226,19.03225806,-4.580645161,0.35483871,0.64516129,31
Appalachian St,2010,73.25806452,0.064516129,24.83870968,52.4516129,7.129032258,18.03225806,16.4516129,22,10.77419355,27.16129032,11.19354839,15.03225806,5.387096774,2.903225806,17.74193548,4.290322581,0.64516129,0.35483871,31
Arizona,2010,71.90322581,0.193548387,24.03225806,54.22580645,6.258064516,17.48387097,17.58064516,24,9.741935484,24.51612903,12.38709677,14.06451613,6,2.516129032,19.19354839,-0.129032258,0.516129032,0.483870968,31
Arizona St,2010,66.75,0,22.5625,50.03125,8.1875,22.25,13.4375,18.9375,8.6875,23.1875,13.875,11.65625,6.65625,2.5,16.5,8.28125,0.6875,0.3125,32
Ark Little Rock,2010,66.07142857,0.071428571,21.67857143,51.75,6.107142857,16.14285714,16.60714286,23.82142857,9.607142857,23.57142857,11.39285714,13.46428571,4.714285714,2.535714286,20.14285714,-7.821428571,0.214285714,0.785714286,28
Ark Pine Bluff,2010,64.40625,0.125,21.59375,52.53125,4.09375,13.46875,17.125,25.8125,12.59375,25.625,12.53125,16.9375,6.84375,3.4375,22.78125,-0.28125,0.53125,0.46875,32
Arkansas,2010,74.71875,0.09375,25.90625,58.09375,6.28125,18.09375,16.625,24.4375,10.96875,23.5,13.75,13.71875,7.25,4.0625,18.6875,0.78125,0.4375,0.5625,32
Arkansas St,2010,67.89655172,0.068965517,24.06896552,54.75862069,5.24137931,15.5862069,14.51724138,22.06896552,11.4137931,25.96551724,12.48275862,13.68965517,4.827586207,4.034482759,18.62068966,0.379310345,0.517241379,0.482758621,29
Army,2010,60.25,0.035714286,22,53.28571429,5.535714286,16.89285714,10.71428571,16.35714286,10.21428571,21.46428571,11.5,14.64285714,8.285714286,2.464285714,20.25,-0.892857143,0.464285714,0.535714286,28
Auburn,2010,75.03225806,0.064516129,26.22580645,59.41935484,8.322580645,25.35483871,14.25806452,21.80645161,12,22.87096774,12.90322581,13.80645161,7.838709677,2.838709677,20.03225806,0.806451613,0.451612903,0.548387097,31
Austin Peay,2010,71.2,0.166666667,23.96666667,53.9,6.133333333,17.23333333,17.13333333,24.66666667,10.96666667,22.66666667,13.1,14.3,5.933333333,3.133333333,17.3,-2.166666667,0.5,0.5,30
BYU,2010,82.60606061,0,28.39393939,58.90909091,8.121212121,19.54545455,17.6969697,22.51515152,10.18181818,26.78787879,15.78787879,11.3030303,8.545454545,3.484848485,17.36363636,16.93939394,0.848484848,0.151515152,33
Ball St,2010,60.31034483,0.206896552,20.31034483,49.4137931,3.793103448,10.34482759,15.89655172,23.03448276,10.34482759,24.72413793,10.82758621,14.55172414,4.931034483,3.103448276,17.93103448,-2.310344828,0.482758621,0.517241379,29
Baylor,2010,76.70967742,0.064516129,27.16129032,56.16129032,7.032258065,18.22580645,15.35483871,20.93548387,12.19354839,26.4516129,13.64516129,14,6.387096774,6.935483871,18.06451613,10.16129032,0.774193548,0.225806452,31
Belmont,2010,73.09677419,0.064516129,24.61290323,54.80645161,7.870967742,22.87096774,16,23.74193548,11.96774194,25.12903226,14.35483871,16.5483871,7.161290323,2.967741935,19.19354839,4.580645161,0.612903226,0.387096774,31
Bethune-Cookman,2010,58.46666667,0.033333333,21.3,51.06666667,3.766666667,11.6,12.1,18.83333333,11.6,20.7,9.833333333,12.73333333,6.466666667,3.433333333,17.93333333,-2.433333333,0.466666667,0.533333333,30
Binghamton,2010,61.68965517,0.068965517,22.4137931,52.96551724,5.137931034,17.62068966,11.72413793,17.51724138,11.48275862,23.31034483,9.931034483,14.27586207,5.275862069,3.965517241,17.06896552,-6.482758621,0.379310345,0.620689655,29
