,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
583,2015,1112,93,1411,72,21,-21,Z02,Z15,1
584,2015,1116,56,1459,53,3,-3,Z05,Z12,1
585,2015,1139,56,1400,48,8,-8,Y06,Y11,1
586,2015,1153,66,1345,65,1,-1,Y08,Y09,1
587,2015,1207,84,1186,74,10,-10,X04,X13,1
588,2015,1209,57,1124,56,1,-1,Z14,Z03,1
589,2015,1246,79,1214,56,23,-23,Y01,Y16a,1
590,2015,1301,66,1261,65,1,-1,W08,W09,1
591,2015,1314,67,1217,65,2,-2,Z04,Z13,1
592,2015,1323,69,1318,65,4,-4,Y03,Y14,1
593,2015,1326,75,1433,72,3,-3,Z10,Z07,1
594,2015,1412,60,1235,59,1,-1,X14,X03,1
595,2015,1417,60,1374,59,1,-1,X11,X06,1
596,2015,1428,57,1372,50,7,-7,X05,X12,1
597,2015,1437,93,1248,52,41,-41,W01,W16,1
598,2015,1462,76,1279,57,19,-19,Z06,Z11b,1
599,2015,1173,66,1344,53,13,-13,W11b,W06,1
600,2015,1181,85,1352,56,29,-29,X01,X16b,1
601,2015,1211,86,1295,76,10,-10,X02,X15,1
602,2015,1234,83,1172,52,31,-31,X07,X10,1
603,2015,1242,75,1308,56,19,-19,Y02,Y15,1
604,2015,1257,57,1414,55,2,-2,W04,W13,1
605,2015,1268,65,1434,62,3,-3,Y04,Y13,1
606,2015,1277,70,1208,63,7,-7,W07,W10,1
607,2015,1320,71,1461,54,17,-17,W05,W12,1
608,2015,1328,69,1107,60,9,-9,W03,W14,1
609,2015,1332,79,1329,73,6,-6,Z08,Z09,1
610,2015,1361,76,1385,64,12,-12,X08,X09,1
611,2015,1438,79,1125,67,12,-12,W02,W15,1
612,2015,1452,68,1138,62,6,-6,Y05,Y12,1
613,2015,1455,81,1231,76,5,-5,Y07,Y10,1
614,2015,1458,86,1157,72,14,-14,Z01,Z16,1
615,2015,1112,73,1326,58,15,-15,Z02,Z10,2
616,2015,1246,64,1153,51,13,-13,Y01,Y08,2
617,2015,1301,71,1437,68,3,-3,W08,W01,2
618,2015,1314,87,1116,78,9,-9,Z04,Z05,2
619,2015,1323,67,1139,64,3,-3,Y03,Y06,2
620,2015,1417,92,1412,75,17,-17,X11,X14,2
621,2015,1428,75,1207,64,11,-11,X05,X04,2
622,2015,1462,75,1209,67,8,-8,Z06,Z14,2
623,2015,1181,68,1361,49,19,-19,X01,X08,2
624,2015,1211,87,1234,68,19,-19,X02,X07,2
625,2015,1257,66,1320,53,13,-13,W04,W05,2
626,2015,1277,60,1438,54,6,-6,W07,W02,2
627,2015,1328,72,1173,66,6,-6,W03,W11b,2
628,2015,1452,69,1268,59,10,-10,Y05,Y04,2
629,2015,1455,78,1242,65,13,-13,Y07,Y02,2
630,2015,1458,72,1332,65,7,-7,Z01,Z08,2
631,2015,1112,68,1462,60,8,-8,Z02,Z06,3
632,2015,1246,78,1452,39,39,-39,Y01,Y05,3
633,2015,1323,81,1455,70,11,-11,Y03,Y07,3
634,2015,1458,79,1314,72,7,-7,Z01,Z04,3
635,2015,1181,63,1428,57,6,-6,X01,X05,3
636,2015,1211,74,1417,62,12,-12,X02,X11,3
637,2015,1257,75,1301,65,10,-10,W04,W08,3
638,2015,1277,62,1328,58,4,-4,W07,W03,3
639,2015,1246,68,1323,66,2,-2,Y01,Y03,4
640,2015,1458,85,1112,78,7,-7,Z01,Z02,4
641,2015,1181,66,1211,52,14,-14,X01,X02,4
642,2015,1277,76,1257,70,6,-6,W07,W04,4
643,2015,1181,81,1277,61,20,-20,X01,W07,5
644,2015,1458,71,1246,64,7,-7,Z01,Y01,5
645,2015,1181,68,1458,63,5,-5,X01,Z01,6
