,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
449,2010,1124,68,1358,59,9,-9,X03,X14,1
450,2010,1139,77,1431,59,18,-18,Z05,Z12,1
451,2010,1140,99,1196,92,7,-7,Z07,Z10,1
452,2010,1242,90,1250,74,16,-16,Y01,Y16,1
453,2010,1243,82,1317,62,20,-20,Z02,Z15,1
454,2010,1246,100,1190,71,29,-29,W01,W16,1
455,2010,1293,66,1435,65,1,-1,Z13,Z04,1
456,2010,1307,62,1285,57,5,-5,W03,W14,1
457,2010,1320,69,1424,66,3,-3,Y09,Y08,1
458,2010,1325,97,1207,83,14,-14,Y14,Y03,1
459,2010,1330,51,1323,50,1,-1,X11,X06,1
460,2010,1388,80,1350,71,9,-9,X10,X07,1
461,2010,1397,62,1361,59,3,-3,Y06,Y11,1
462,2010,1437,73,1352,70,3,-3,X02,X15,1
463,2010,1448,81,1400,80,1,-1,W09,W08,1
464,2010,1449,80,1266,78,2,-2,W11,W06,1
465,2010,1143,77,1257,62,15,-15,X08,X09,1
466,2010,1165,78,1396,65,13,-13,W12,W05,1
467,2010,1181,73,1115,44,29,-29,X01,X16a,1
468,2010,1210,64,1329,59,5,-5,Y10,Y07,1
469,2010,1211,67,1199,60,7,-7,Z08,Z09,1
470,2010,1268,89,1222,77,12,-12,Y04,Y13,1
471,2010,1277,70,1308,67,3,-3,Y05,Y12,1
472,2010,1281,86,1155,78,8,-8,W10,W07,1
473,2010,1326,68,1364,51,17,-17,Y02,Y15,1
474,2010,1338,89,1324,66,23,-23,Z03,Z14,1
475,2010,1345,72,1373,64,8,-8,X04,X13,1
476,2010,1393,79,1436,56,23,-23,Z01,Z16,1
477,2010,1401,69,1429,53,16,-16,X05,X12,1
478,2010,1452,77,1288,50,27,-27,W02,W15,1
479,2010,1458,53,1459,49,4,-4,W04,W13,1
480,2010,1462,65,1278,54,11,-11,Z06,Z11,1
481,2010,1124,76,1330,68,8,-8,X03,X11,2
482,2010,1139,54,1293,52,2,-2,Z05,Z13,2
483,2010,1243,84,1140,72,12,-12,Z02,Z07,2
484,2010,1246,90,1448,60,30,-30,W01,W09,2
485,2010,1320,69,1242,67,2,-2,Y09,Y01,2
486,2010,1388,75,1437,68,7,-7,X10,X02,2
487,2010,1397,83,1325,68,15,-15,Y06,Y14,2
488,2010,1449,82,1307,64,18,-18,W11,W03,2
489,2010,1165,87,1458,69,18,-18,W12,W04,2
490,2010,1181,68,1143,53,15,-15,X01,X08,2
491,2010,1277,85,1268,83,2,-2,Y05,Y04,2
492,2010,1326,75,1210,66,9,-9,Y02,Y10,2
493,2010,1345,63,1401,61,2,-2,X04,X05,2
494,2010,1393,87,1211,65,22,-22,Z01,Z08,2
495,2010,1452,68,1281,59,9,-9,W02,W10,2
496,2010,1462,71,1338,68,3,-3,Z06,Z03,2
497,2010,1139,63,1393,59,4,-4,Z05,Z01,3
498,2010,1243,101,1462,96,5,-5,Z02,Z06,3
499,2010,1246,62,1165,45,17,-17,W01,W12,3
500,2010,1452,69,1449,56,13,-13,W02,W11,3
501,2010,1124,72,1388,49,23,-23,X03,X10,3
502,2010,1181,70,1345,57,13,-13,X01,X04,3
503,2010,1277,59,1320,52,7,-7,Y05,Y09,3
504,2010,1397,76,1326,73,3,-3,Y06,Y02,3
505,2010,1139,63,1243,56,7,-7,Z05,Z02,4
506,2010,1452,73,1246,66,7,-7,W02,W01,4
507,2010,1181,78,1124,71,7,-7,X01,X03,4
508,2010,1277,70,1397,69,1,-1,Y05,Y06,4
509,2010,1139,52,1277,50,2,-2,Z05,Y05,5
510,2010,1181,78,1452,57,21,-21,X01,W02,5
511,2010,1181,61,1139,59,2,-2,X01,Z05,6
