,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
385,2009,1163,103,1151,47,56,-56,Z01,Z16,1
386,2009,1181,86,1127,62,24,-24,W02,W15,1
387,2009,1211,77,1103,64,13,-13,X04,X13,1
388,2009,1261,75,1139,71,4,-4,X08,X09,1
389,2009,1268,84,1143,71,13,-13,Z10,Z07,1
390,2009,1272,81,1169,70,11,-11,Z02,Z15,1
391,2009,1276,62,1155,59,3,-3,X10,X07,1
392,2009,1314,101,1347,58,43,-43,X01,X16,1
393,2009,1328,82,1288,54,28,-28,X02,X15,1
394,2009,1345,61,1320,56,5,-5,Z05,Z12,1
395,2009,1400,76,1278,62,14,-14,W07,W10,1
396,2009,1401,79,1140,66,13,-13,Z09,Z08,1
397,2009,1417,65,1433,64,1,-1,W06,W11,1
398,2009,1437,80,1110,67,13,-13,W03,W14,1
399,2009,1443,76,1228,72,4,-4,X12,X05,1
400,2009,1449,71,1280,58,13,-13,Z04,Z13,1
401,2009,1112,84,1428,71,13,-13,Y12,Y05,1
402,2009,1113,66,1396,57,9,-9,X06,X11,1
403,2009,1156,84,1448,69,15,-15,Y13,Y04,1
404,2009,1173,68,1452,60,8,-8,Y11,Y06,1
405,2009,1242,84,1295,74,10,-10,Y03,Y14,1
406,2009,1257,74,1287,54,20,-20,Y01,Y16b,1
407,2009,1266,58,1429,57,1,-1,Z06,Z11,1
408,2009,1277,77,1352,62,15,-15,Y02,Y15,1
409,2009,1281,78,1165,59,19,-19,Z03,Z14,1
410,2009,1329,77,1397,75,2,-2,W08,W09,1
411,2009,1338,72,1190,62,10,-10,W01,W16,1
412,2009,1373,74,1326,72,2,-2,Y09,Y08,1
413,2009,1393,59,1372,44,15,-15,X03,X14,1
414,2009,1425,72,1130,55,17,-17,Y10,Y07,1
415,2009,1458,61,1199,59,2,-2,W12,W05,1
416,2009,1462,77,1340,59,18,-18,W04,W13,1
417,2009,1163,92,1401,66,26,-26,Z01,Z09,2
418,2009,1181,74,1400,69,5,-5,W02,W07,2
419,2009,1211,83,1443,81,2,-2,X04,X12,2
420,2009,1272,89,1268,70,19,-19,Z02,Z10,2
421,2009,1314,84,1261,70,14,-14,X01,X08,2
422,2009,1328,73,1276,63,10,-10,X02,X10,2
423,2009,1345,76,1449,74,2,-2,Z05,Z04,2
424,2009,1437,89,1417,69,20,-20,W03,W06,2
425,2009,1112,71,1156,57,14,-14,Y12,Y13,2
426,2009,1242,60,1173,43,17,-17,Y03,Y11,2
427,2009,1257,79,1373,72,7,-7,Y01,Y09,2
428,2009,1277,74,1425,69,5,-5,Y02,Y10,2
429,2009,1281,83,1266,79,4,-4,Z03,Z06,2
430,2009,1338,84,1329,76,8,-8,W01,W08,2
431,2009,1393,78,1113,67,11,-11,X03,X06,2
432,2009,1462,60,1458,49,11,-11,W04,W12,2
433,2009,1163,72,1345,60,12,-12,Z01,Z05,3
434,2009,1281,102,1272,91,11,-11,Z03,Z02,3
435,2009,1338,60,1462,55,5,-5,W01,W04,3
436,2009,1437,77,1181,54,23,-23,W03,W02,3
437,2009,1257,103,1112,64,39,-39,Y01,Y12,3
438,2009,1277,67,1242,62,5,-5,Y02,Y03,3
439,2009,1314,98,1211,77,21,-21,X01,X04,3
440,2009,1328,84,1393,71,13,-13,X02,X03,3
441,2009,1163,82,1281,75,7,-7,Z01,Z03,4
442,2009,1437,78,1338,76,2,-2,W03,W01,4
443,2009,1277,64,1257,52,12,-12,Y02,Y01,4
444,2009,1314,72,1328,60,12,-12,X01,X02,4
445,2009,1277,82,1163,73,9,-9,Y02,Z01,5
446,2009,1314,83,1437,69,14,-14,X01,W03,5
447,2009,1314,89,1277,72,17,-17,X01,Y02,6
