,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
1,2003,Arizona,80,Vermont,51,29,-29,Z01,Z16,1
2,2003,Arizona St,84,Memphis,71,13,-13,Z10,Z07,1
3,2003,C Michigan,79,Creighton,73,6,-6,Z11,Z06,1
4,2003,California,76,NC State,74,2,-2,W08,W09,1
5,2003,Connecticut,58,BYU,53,5,-5,X05,X12,1
6,2003,Duke,67,Colorado St,57,10,-10,Z03,Z14,1
7,2003,Gonzaga,74,Cincinnati,69,5,-5,Z09,Z08,1
8,2003,Illinois,65,WKU,60,5,-5,Z04,Z13,1
9,2003,Kansas,64,Utah St,61,3,-3,Z02,Z15,1
10,2003,Marquette,72,Holy Cross,68,4,-4,Y03,Y14,1
11,2003,Missouri,72,S Illinois,71,1,-1,Y06,Y11,1
12,2003,Notre Dame,70,WI Milwaukee,69,1,-1,Z05,Z12,1
13,2003,Oklahoma,71,S Carolina St,54,17,-17,W01,W16,1
14,2003,Stanford,77,San Diego,69,8,-8,X04,X13,1
15,2003,Tulsa,84,Dayton,71,13,-13,Y13,Y04,1
16,2003,Wisconsin,81,Weber St,74,7,-7,Y05,Y12,1
17,2003,Auburn,65,St Joseph's PA,63,2,-2,W10,W07,1
18,2003,Butler,47,Mississippi St,46,1,-1,W12,W05,1
19,2003,Florida,85,Sam Houston St,55,30,-30,X02,X15,1
20,2003,Indiana,67,Alabama,62,5,-5,Y07,Y10,1
21,2003,Kentucky,95,IUPUI,64,31,-31,Y01,Y16,1
22,2003,Louisville,86,Austin Peay,64,22,-22,W04,W13,1
23,2003,Maryland,75,UNC Wilmington,73,2,-2,X06,X11,1
24,2003,Michigan St,79,Colorado,64,15,-15,X07,X10,1
25,2003,Oklahoma St,77,Penn,63,14,-14,W06,W11,1
26,2003,Pittsburgh,87,Wagner,61,26,-26,Y02,Y15,1
27,2003,Purdue,80,LSU,56,24,-24,X09,X08,1
28,2003,Syracuse,76,Manhattan,65,11,-11,W03,W14,1
29,2003,Texas,82,UNC Asheville,61,21,-21,X01,X16b,1
30,2003,Utah,60,Oregon,58,2,-2,Y09,Y08,1
31,2003,Wake Forest,76,ETSU,73,3,-3,W02,W15,1
32,2003,Xavier,71,Troy,59,12,-12,X03,X14,1
33,2003,Arizona,96,Gonzaga,95,1,-1,Z01,Z09,2
34,2003,Connecticut,85,Stanford,74,11,-11,X05,X04,2
35,2003,Duke,86,C Michigan,60,26,-26,Z03,Z11,2
36,2003,Kansas,108,Arizona St,76,32,-32,Z02,Z10,2
37,2003,Marquette,101,Missouri,92,9,-9,Y03,Y06,2
38,2003,Notre Dame,68,Illinois,60,8,-8,Z05,Z04,2
39,2003,Oklahoma,74,California,65,9,-9,W01,W08,2
40,2003,Wisconsin,61,Tulsa,60,1,-1,Y05,Y13,2
41,2003,Auburn,68,Wake Forest,62,6,-6,W10,W02,2
42,2003,Butler,79,Louisville,71,8,-8,W12,W04,2
43,2003,Kentucky,74,Utah,54,20,-20,Y01,Y09,2
44,2003,Maryland,77,Xavier,64,13,-13,X06,X03,2
45,2003,Michigan St,68,Florida,46,22,-22,X07,X02,2
46,2003,Pittsburgh,74,Indiana,52,22,-22,Y02,Y07,2
47,2003,Syracuse,68,Oklahoma St,56,12,-12,W03,W06,2
48,2003,Texas,77,Purdue,67,10,-10,X01,X09,2
49,2003,Arizona,88,Notre Dame,71,17,-17,Z01,Z05,3
50,2003,Kansas,69,Duke,65,4,-4,Z02,Z03,3
51,2003,Kentucky,63,Wisconsin,57,6,-6,Y01,Y05,3
52,2003,Marquette,77,Pittsburgh,74,3,-3,Y03,Y02,3
53,2003,Michigan St,60,Maryland,58,2,-2,X07,X06,3
54,2003,Oklahoma,65,Butler,54,11,-11,W01,W12,3
55,2003,Syracuse,79,Auburn,78,1,-1,W03,W10,3
56,2003,Texas,82,Connecticut,78,4,-4,X01,X05,3
57,2003,Kansas,78,Arizona,75,3,-3,Z02,Z01,4
58,2003,Marquette,83,Kentucky,69,14,-14,Y03,Y01,4
59,2003,Syracuse,63,Oklahoma,47,16,-16,W03,W01,4
60,2003,Texas,85,Michigan St,76,9,-9,X01,X07,4
61,2003,Kansas,94,Marquette,61,33,-33,Z02,Y03,5
62,2003,Syracuse,95,Texas,84,11,-11,W03,X01,5
63,2003,Syracuse,81,Kansas,78,3,-3,W03,Z02,6
