,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
65,2004,1104,65,1356,64,1,-1,X08,X09,1
66,2004,1163,70,1436,53,17,-17,X02,X15,1
67,2004,1177,76,1173,69,7,-7,X07,X10,1
68,2004,1181,96,1106,61,35,-35,W01,W16,1
69,2004,1211,76,1434,49,27,-27,Z02,Z15,1
70,2004,1264,75,1196,60,15,-15,Y12,Y05,1
71,2004,1268,86,1431,83,3,-3,X04,X13,1
72,2004,1305,72,1277,66,6,-6,Z10,Z07,1
73,2004,1314,63,1102,52,11,-11,W06,W11,1
74,2004,1371,80,1112,76,4,-4,W08,W09,1
75,2004,1386,82,1251,63,19,-19,Y01,Y16,1
76,2004,1390,71,1427,45,26,-26,X01,X16,1
77,2004,1393,80,1140,75,5,-5,X05,X12,1
78,2004,1400,66,1343,49,17,-17,W03,W14,1
79,2004,1403,76,1150,73,3,-3,Y08,Y09,1
80,2004,1448,79,1433,78,1,-1,Y04,Y13,1
81,2004,1130,58,1428,51,7,-7,Z06,Z11,1
82,2004,1153,80,1190,77,3,-3,W04,W13,1
83,2004,1210,65,1320,60,5,-5,Z03,Z14,1
84,2004,1228,72,1293,53,19,-19,W05,W12,1
85,2004,1242,78,1227,53,25,-25,Z04,Z13,1
86,2004,1246,96,1197,76,20,-20,Z01,Z16a,1
87,2004,1272,59,1376,43,16,-16,Y07,Y10,1
88,2004,1280,85,1284,52,33,-33,W02,W15,1
89,2004,1301,61,1418,52,9,-9,X03,X14,1
90,2004,1329,75,1186,56,19,-19,Y02,Y15,1
91,2004,1334,66,1344,58,8,-8,Z12,Z05,1
92,2004,1338,53,1416,44,9,-9,Y03,Y14,1
93,2004,1412,102,1449,100,2,-2,Z09,Z08,1
94,2004,1435,71,1444,58,13,-13,X06,X11,1
95,2004,1458,76,1350,64,12,-12,Y06,Y11,1
96,2004,1462,80,1257,70,10,-10,W07,W10,1
97,2004,1104,70,1390,67,3,-3,X08,X01,2
98,2004,1163,72,1177,55,17,-17,X02,X07,2
99,2004,1181,90,1371,62,28,-28,W01,W08,2
100,2004,1305,91,1211,72,19,-19,Z10,Z02,2
101,2004,1386,70,1403,65,5,-5,Y01,Y08,2
102,2004,1393,72,1268,70,2,-2,X05,X04,2
103,2004,1400,78,1314,75,3,-3,W03,W06,2
104,2004,1448,84,1264,80,4,-4,Y04,Y12,2
105,2004,1210,57,1130,54,3,-3,Z03,Z06,2
106,2004,1228,92,1153,68,24,-24,W05,W04,2
107,2004,1242,78,1334,63,15,-15,Z04,Z12,2
108,2004,1329,70,1272,53,17,-17,Y02,Y07,2
109,2004,1338,59,1458,55,4,-4,Y03,Y06,2
110,2004,1412,76,1246,75,1,-1,Z09,Z01,2
111,2004,1435,75,1301,73,2,-2,X06,X03,2
112,2004,1462,89,1280,74,15,-15,W07,W02,2
113,2004,1104,80,1393,71,9,-9,X08,X05,3
114,2004,1163,73,1435,53,20,-20,X02,X06,3
115,2004,1329,63,1338,51,12,-12,Y02,Y03,3
116,2004,1386,84,1448,80,4,-4,Y01,Y04,3
117,2004,1181,72,1228,62,10,-10,W01,W05,3
118,2004,1210,72,1305,67,5,-5,Z03,Z10,3
119,2004,1242,100,1412,74,26,-26,Z04,Z09,3
120,2004,1462,79,1400,71,8,-8,W07,W03,3
121,2004,1163,87,1104,71,16,-16,X02,X08,4
122,2004,1329,64,1386,62,2,-2,Y02,Y01,4
123,2004,1181,66,1462,63,3,-3,W01,W07,4
124,2004,1210,79,1242,71,8,-8,Z03,Z04,4
125,2004,1163,79,1181,78,1,-1,X02,W01,5
126,2004,1210,67,1329,65,2,-2,Z03,Y02,5
127,2004,1163,82,1210,73,9,-9,X02,Z03,6
