,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
193,2006,1104,90,1266,85,5,-5,X10,X07,1
194,2006,1130,88,1334,76,12,-12,Y04,Y13,1
195,2006,1181,70,1380,54,16,-16,W01,W16,1
196,2006,1196,76,1375,50,26,-26,Y03,Y14,1
197,2006,1203,88,1423,85,3,-3,W08,W09,1
198,2006,1211,79,1462,75,4,-4,X03,X14,1
199,2006,1228,78,1102,69,9,-9,Z04,Z13,1
200,2006,1231,87,1361,83,4,-4,X06,X11,1
201,2006,1261,80,1233,64,16,-16,W04,W13,1
202,2006,1285,87,1305,79,8,-8,Y12,Y05,1
203,2006,1397,63,1457,61,2,-2,Z02,Z15,1
204,2006,1401,66,1393,58,8,-8,W12,W05,1
205,2006,1417,78,1125,44,34,-34,X02,X15,1
206,2006,1449,75,1429,61,14,-14,Z05,Z12,1
207,2006,1454,82,1328,74,8,-8,Y11,Y06,1
208,2006,1455,86,1371,66,20,-20,Z07,Z10,1
209,2006,1112,94,1458,75,19,-19,Y08,Y09,1
210,2006,1133,77,1242,73,4,-4,X13,X04,1
211,2006,1137,59,1116,55,4,-4,X09,X08,1
212,2006,1163,72,1107,59,13,-13,Z01,Z16,1
213,2006,1206,75,1277,65,10,-10,Z11,Z06,1
214,2006,1207,54,1320,49,5,-5,Y07,Y10,1
215,2006,1246,69,1412,64,5,-5,Z08,Z09,1
216,2006,1272,94,1331,78,16,-16,X01,X16,1
217,2006,1301,58,1143,52,6,-6,W10,W07,1
218,2006,1314,69,1293,65,4,-4,Z03,Z14,1
219,2006,1322,64,1234,63,1,-1,W14,W03,1
220,2006,1326,70,1172,62,8,-8,Y02,Y15,1
221,2006,1338,79,1245,64,15,-15,X05,X12,1
222,2006,1400,60,1335,52,8,-8,W02,W15,1
223,2006,1437,58,1284,45,13,-13,Y01,Y16b,1
224,2006,1452,64,1356,46,18,-18,W06,W11,1
225,2006,1130,69,1285,56,13,-13,Y04,Y12,2
226,2006,1181,74,1203,61,13,-13,W01,W08,2
227,2006,1196,82,1454,60,22,-22,Y03,Y11,2
228,2006,1211,90,1231,80,10,-10,X03,X06,2
229,2006,1261,58,1401,57,1,-1,W04,W12,2
230,2006,1417,62,1104,59,3,-3,X02,X10,2
231,2006,1449,67,1228,64,3,-3,Z05,Z04,2
232,2006,1455,80,1397,73,7,-7,Z07,Z02,2
233,2006,1133,72,1338,66,6,-6,X13,X05,2
234,2006,1163,87,1246,83,4,-4,Z01,Z08,2
235,2006,1206,65,1314,60,5,-5,Z11,Z03,2
236,2006,1207,70,1326,52,18,-18,Y07,Y02,2
237,2006,1272,72,1137,56,16,-16,X01,X09,2
238,2006,1400,75,1301,54,21,-21,W02,W10,2
239,2006,1437,82,1112,78,4,-4,Y01,Y08,2
240,2006,1452,67,1322,54,13,-13,W06,W14,2
241,2006,1261,62,1181,54,8,-8,W04,W01,3
242,2006,1272,80,1133,64,16,-16,X01,X13,3
243,2006,1400,74,1452,71,3,-3,W02,W06,3
244,2006,1417,73,1211,71,2,-2,X02,X03,3
245,2006,1163,98,1449,92,6,-6,Z01,Z05,3
246,2006,1196,57,1207,53,4,-4,Y03,Y07,3
247,2006,1206,63,1455,55,8,-8,Z11,Z07,3
248,2006,1437,60,1130,59,1,-1,Y01,Y04,3
249,2006,1261,70,1400,60,10,-10,W04,W02,4
250,2006,1417,50,1272,45,5,-5,X02,X01,4
251,2006,1196,75,1437,62,13,-13,Y03,Y01,4
252,2006,1206,86,1163,84,2,-2,Z11,Z01,4
253,2006,1196,73,1206,58,15,-15,Y03,Z11,5
254,2006,1417,59,1261,45,14,-14,X02,W04,5
255,2006,1196,73,1417,57,16,-16,Y03,X02,6
