,Season,Wteam,Wscore,Lteam,Lscore,Wscorediff,Lscorediff,WSeed,LSeed,Round
650,2016,1114,85,1345,83,2,-2,X12,X05,1
651,2016,1139,71,1403,61,10,-10,X09,X08,1
652,2016,1163,74,1160,67,7,-7,Y09,Y08,1
653,2016,1181,93,1423,85,8,-8,Z04,Z13,1
654,2016,1211,68,1371,52,16,-16,X11,X06,1
655,2016,1231,99,1151,74,25,-25,W05,W12,1
656,2016,1235,94,1233,81,13,-13,X04,X13,1
657,2016,1242,105,1122,79,26,-26,Y01,Y16,1
658,2016,1246,85,1392,57,28,-28,W04,W13,1
659,2016,1274,79,1138,72,7,-7,Y03,Y14,1
660,2016,1314,83,1195,67,16,-16,W01,W16b,1
661,2016,1344,70,1425,69,1,-1,W09,W08,1
662,2016,1428,80,1201,69,11,-11,X03,X14,1
663,2016,1438,81,1214,45,36,-36,X01,X16,1
664,2016,1455,65,1112,55,10,-10,Y11b,Y06,1
665,2016,1463,79,1124,75,4,-4,Z12,Z05,1
666,2016,1218,77,1143,66,11,-11,Y13,Y04,1
667,2016,1234,72,1396,70,2,-2,Y07,Y10,1
668,2016,1268,79,1355,74,5,-5,Y05,Y12,1
669,2016,1292,90,1277,81,9,-9,X15,X02,1
670,2016,1320,75,1400,72,3,-3,Z11,Z06,1
671,2016,1323,70,1276,63,7,-7,W06,W11a,1
672,2016,1328,82,1167,68,14,-14,Z02,Z15,1
673,2016,1332,91,1221,52,39,-39,Z01,Z16a,1
674,2016,1372,70,1452,56,14,-14,W14,W03,1
675,2016,1386,78,1153,76,2,-2,Z08,Z09,1
676,2016,1393,70,1173,51,19,-19,X10,X07,1
677,2016,1401,92,1453,65,27,-27,Z03,Z14,1
678,2016,1433,75,1333,67,8,-8,Z10,Z07,1
679,2016,1437,86,1421,56,30,-30,Y02,Y15,1
680,2016,1458,47,1338,43,4,-4,W07,W10,1
681,2016,1462,71,1451,53,18,-18,W02,W15,1
682,2016,1181,71,1463,64,7,-7,Z04,Z12,2
683,2016,1211,82,1428,59,23,-23,X11,X03,2
684,2016,1231,73,1246,67,6,-6,W05,W04,2
685,2016,1235,78,1114,61,17,-17,X04,X12,2
686,2016,1242,73,1163,61,12,-12,Y01,Y09,2
687,2016,1274,65,1455,57,8,-8,Y03,Y11b,2
688,2016,1314,85,1344,66,19,-19,W01,W09,2
689,2016,1438,77,1139,69,8,-8,X01,X09,2
690,2016,1268,73,1218,60,13,-13,Y05,Y13,2
691,2016,1323,76,1372,75,1,-1,W06,W14,2
692,2016,1328,85,1433,81,4,-4,Z02,Z10,2
693,2016,1332,69,1386,64,5,-5,Z01,Z08,2
694,2016,1393,75,1292,50,25,-25,X10,X15,2
695,2016,1401,92,1320,88,4,-4,Z03,Z11,2
696,2016,1437,87,1234,68,19,-19,Y02,Y07,2
697,2016,1458,66,1462,63,3,-3,W07,W02,2
698,2016,1242,79,1268,63,16,-16,Y01,Y05,3
699,2016,1328,77,1401,63,14,-14,Z02,Z03,3
700,2016,1332,82,1181,68,14,-14,Z01,Z04,3
701,2016,1437,92,1274,69,23,-23,Y02,Y03,3
702,2016,1314,101,1231,86,15,-15,W01,W05,3
703,2016,1323,61,1458,56,5,-5,W06,W07,3
704,2016,1393,63,1211,60,3,-3,X10,X11,3
705,2016,1438,84,1235,71,13,-13,X01,X04,3
706,2016,1328,80,1332,68,12,-12,Z02,Z01,4
707,2016,1437,64,1242,59,5,-5,Y02,Y01,4
708,2016,1314,88,1323,74,14,-14,W01,W06,4
709,2016,1393,68,1438,62,6,-6,X10,X01,4
710,2016,1314,83,1393,66,17,-17,W01,X10,5
711,2016,1437,95,1328,51,44,-44,Y02,Z02,5
712,2016,1437,77,1314,74,3,-3,Y02,W01,6
